%	prozent
f	fahrenheit
c	celsius
°C	grad celsius
°F	grad fahrenheit
K	kelvin
km	kilometer
m	meter
cm	zentimeter
mm	millimeter
μm	mikrometer
nm	nanometer
dm	dezimeter
pm	pikometer
hm	hektometer
ha	hektar
mi	meile
m²	quadrat meter
km²	quadrat kilometer
mm²	quadrat millimeter
cm²	quadrat zentimeter
m³	kubik meter
km³	kubik kilometer
mm³	kubik millimeter
cm³	kubik zentimeter
ft	fuß
g	gramm
µg	mikrogramm
mg	milligramm
kg	kilogramm
lb	pfund
oz	unze
cwt	zentner
gr	korn
dr	drachne
μg	mikrogramm
pg	petagramm
h	stunde
s	sekunde
min	minute
ds	decisekunde
ms	millisekunde
μs	mikrosekunde
hz	hertz
kw	kilowatt
kwh	kilowattstunde
ghz	gigahertz
khz	kilohertz
mhz	megahertz
v	volt
mc	mega coulomb
mA	milli ampere
A	ampere
tw	tera watt
mv	milli volt
mw	megawatt
gw	gigawatt
ω	ohm
db	dezibel
gb	gigabyte
kb	kilobit
pb	petabit
mb	megabyte
kb	kilobyte
tb	terabyte
kv	kilo volt
mv	mega volt
kn	kilonewton
ml	milliliter
l	liter
ma	mega ampere
bar	bar
kcal	kilokalorie
cal	kalorie
kcal	kilo kalorie