halb	zwei
drittel	drei
viertel	vier
fünftel	fünf
sechstel	sechs
siebtel	sieben
achtel	acht
neuntel	neun
zehntel	zehn
elftel	elf
zwölftel	zwölf
dreizehntel	dreizehn
vierzehntel	vierzehn
fünfzehntel	fünfzehn
sechzehntel	sechzehn
siebzehntel	siebzehn
achtzehntel	achtzehn
neunzehntel	neunzehn
zwanzigstel	zwanzig
dreißigstel	dreißig
vierzigstel	vierzig
fünfzigstel	fünfzig
sechzigstel	sechzig
siebzigstel	siebzig
achtzigstel	achtzig
neunzigstel	neunzig
hundertstel	hundert
tausendstel	tausend
millionstel	million
milliardstel	milliarde