10	десятая	-0.1
10	десятой	0.1
10	десятой	0.1
10	десятую	0.1
10	десятою	0.1
10	десятой	0.1
10	десятые	0.1
10	десятых	-0.1
10	десятым	0.1
10	десятыми	0.1
100	сотые	-0.1
100	сотых	-0.1
100	сотым	0.1
100	сотыми	0.1
100	сотая	-0.1
100	сотой	0.1
100	сотую	0.1
100	сотою	0.1
1000	тысячные	-0.1
1000	тысячных	-0.1
1000	тысячным	0.1
1000	тысячными	0.1
1000	тысячная	-0.1
1000	тысячной	0.1
1000	тысячную	0.1
1000	тысячною	0.1
10000	десятитысячная	-0.1
10000	десятитысячной	0.1
10000	десятитысячной	0.1
10000	десятитысячную	0.1
10000	десятитысячною	0.1
10000	десятитысячной	0.1
10000	десятитысячные	0.1
10000	десятитысячных	-0.1
10000	десятитысячным	0.1
10000	десятитысячные	0.1
10000	десятитысячными	0.1